매장명,위도,경도,구,주소,전화번호,매장타입
아크플레이스,37.49971982,127.0349084,강남구,서울특별시 강남구 테헤란로 142 (역삼동),1522-3232,general
학여울역,37.49803646,127.0684943,강남구,서울특별시 강남구 영동대로 215 (대치동),1522-3232,general
선정릉역,37.51075489999999,127.04455970000003,강남구,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,1522-3232,general
삼성현대힐,37.51350444312708,127.05273753314826,강남구,서울특별시 강남구 삼성로 605 (삼성동),1522-3232,general
GS타워,37.5018592,127.03727759999992,강남구,서울특별시 강남구 논현로 508 (역삼동),1522-3232,general
압구정미소,37.523912710310014,127.02807214378778,강남구,서울특별시 강남구 논현로 841 (신사동),1522-3232,general
선릉역,37.50393894,127.0485135,강남구,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",1522-3232,general
코엑스사거리,37.515351,127.060109,강남구,서울특별시 강남구 영동대로 616 (삼성동),1522-3232,general
역삼럭키,37.492209,127.039389,강남구,서울특별시 강남구 도곡로 183 (역삼동),1522-3232,general
신압구정,37.528115,127.036441,강남구,서울특별시 강남구 언주로174길 29 (신사동),1522-3232,general
아크로힐스논현,37.509013311862645,127.0403523996554,강남구,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",1522-3232,general
강남비젼타워,37.4964557,127.02968850000002,강남구,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",1522-3232,general
압구정로데오역,37.526549,127.040437,강남구,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",1522-3232,general
르네상스사거리,37.502721,127.044308,강남구,서울특별시 강남구 테헤란로 306 (역삼동),1522-3232,general
포스코,37.50576457783876,127.05804488086114,강남구,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",1522-3232,general
선릉로,37.50498118534617,127.0468080752464,강남구,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",1522-3232,general
논현힐탑,37.51159269029387,127.03219311069766,강남구,서울특별시 강남구 논현로 648 (논현동),1522-3232,general
도산가로수길,37.51736229999999,127.02329570000006,강남구,"서울특별시 강남구 도산대로 134, 2층 (논현동)",1522-3232,general
매봉역,37.4859095,127.0452879,강남구,서울특별시 강남구 남부순환로 2736 (도곡동),1522-3232,general
대치한티,37.4984818,127.052066,강남구,서울특별시 강남구 선릉로 324 (대치동),1522-3232,general
개포동,37.4828551359882,127.0607152444621,강남구,서울특별시 강남구 선릉로 34 (개포동),1522-3232,general
수서역사거리,37.4873267937748,127.103140081887,강남구,서울특별시 강남구 광평로 280 (수서동),1522-3232,general
코엑스아셈타워,37.513019,127.059838,강남구,서울특별시 강남구 영동대로 517 (삼성동),1522-3232,general
센터필드R,37.50369465391196,127.04172081609172,강남구,서울특별시 강남구 테헤란로 231 (역삼동),1522-3232,reserve
도산사거리,37.51966,127.0341,강남구,서울특별시 강남구 언주로 727 (논현동),1522-3232,general
강남세곡,37.467274319644,127.099929726,강남구,서울특별시 강남구 헌릉로569길 18 (세곡동),1522-3232,general
대치삼성,37.500313,127.066961,강남구,서울특별시 강남구 영동대로 237 (대치동),1522-3232,general
언주역,37.50777565616907,127.0365882862214,강남구,서울특별시 강남구 봉은사로 222 (역삼동),1522-3232,general
강남역신분당역사,37.4970572543978,127.028180714381,강남구,서울특별시 강남구 강남대로 396 (역삼동),1522-3232,general
삼성역,37.509206962541256,127.06560851480327,강남구,서울특별시 강남구 테헤란로 620 (대치동),1522-3232,general
테헤란로아남타워,37.50383,127.04487,강남구,서울특별시 강남구 테헤란로 311 (역삼동),1522-3232,general
강남논현,37.5078978596254,127.023338614644,강남구,서울특별시 강남구 강남대로 512 (논현동),1522-3232,general
삼성동,37.510843366121534,127.06363342044263,강남구,서울특별시 강남구 영동대로96길 12 (삼성동),1522-3232,general
청담역,37.5194407323478,127.049552661542,강남구,서울특별시 강남구 삼성로 709 (청담동),1522-3232,general
압구정현대아파트,37.52521971236768,127.0256601858147,강남구,서울특별시 강남구 논현로175길 38 (신사동),1522-3232,general
강남청담빌딩,37.517887,127.041375,강남구,서울특별시 강남구 선릉로 704 (청담동),1522-3232,general
역삼이마트,37.499367,127.048425,강남구,서울특별시 강남구 역삼로 310 (역삼동),1522-3232,general
케이스퀘어강남,37.4991914625768,127.028204360257,강남구,서울특별시 강남구 강남대로94길 10 (역삼동),1522-3232,general
강남세곡DT,37.466993809277,127.118330806807,강남구,서울특별시 강남구 헌릉로 727 (세곡동),1522-3232,generalDT
미아뉴타운,37.618319,127.021072,강북구,서울특별시 강북구 삼양로 161 (미아동),1522-3232,general
강북구청사거리,37.639987861152015,127.0274331199793,강북구,서울특별시 강북구 도봉로 365 (수유동),1522-3232,general
미아사거리역,37.611809,127.0306971,강북구,서울특별시 강북구 도봉로 32 (미아동),1522-3232,general
수유역,37.6380167,127.02613500000007,강북구,서울특별시 강북구 도봉로 342 (번동),1522-3232,general
미아역,37.626148,127.026578,강북구,서울특별시 강북구 도봉로 196 (미아동),1522-3232,general
수유역5번출구,37.636722675028174,127.02332208832509,강북구,"서울특별시 강북구 도봉로 315 (수유동, 에피소드 수유 838)",1522-3232,general
파라스파라서울,37.66419549576315,127.01040728594249,강북구,서울특별시 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,1522-3232,general
발산역사거리,37.558509,126.835096,강서구,서울특별시 강서구 공항대로 248 (마곡동),1522-3232,general
마곡역,37.559611,126.826298,강서구,서울특별시 강서구 공항대로 168 (마곡동),1522-3232,general
우장산역,37.549510038803994,126.83606164803061,강서구,서울특별시 강서구 강서로 267 (내발산동),1522-3232,general
마곡사이언스타워R,37.5605261,126.833887,강서구,서울특별시 강서구 마곡동로 62 (마곡동),1522-3232,reserve
방화DT,37.574456834773024,126.81648812379821,강서구,서울특별시 강서구 방화대로 375 (방화동),1522-3232,generalDT
