"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 북구","S020001282","양덕초등학교","02","공립","N","","2","30","15","1","22","22","1","20","20","2","30","15","2","31","15.5","2","28","14","1","6","6","0","0","0","11","167","15.2","13","12.8"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 북구","S020001283","양천초등학교","02","공립","N","","1","15","15","1","14","14","1","21","21","2","21","10.5","1","20","20","2","28","14","2","9","4.5","0","0","0","10","128","12.8","12","10.7"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 사상구","S020001284","엄궁초등학교","02","공립","N","","4","80","20","4","95","23.8","5","108","21.6","5","108","21.6","6","126","21","6","122","20.3","2","8","4","0","0","0","32","647","20.2","40","16.2"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 북구","S020001285","와석초등학교","02","공립","N","","4","75","18.8","4","83","20.8","5","97","19.4","4","84","21","4","96","24","3","69","23","1","5","5","0","0","0","25","509","20.4","30","17"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 북구","S020001286","용수초등학교","02","공립","N","","5","100","20","6","129","21.5","6","135","22.5","6","140","23.3","6","145","24.2","6","132","22","2","10","5","0","0","0","37","791","21.4","45","17.6"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 사상구","S020001287","주감초등학교","02","공립","N","","4","86","21.5","5","108","21.6","5","108","21.6","4","100","25","4","95","23.8","5","116","23.2","2","11","5.5","0","0","0","29","624","21.5","34","18.4"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 사상구","S020001288","주학초등학교","02","공립","N","","1","9","9","1","7","7","1","6","6","1","5","5","1","12","12","1","10","10","1","2","2","0","0","0","7","51","7.3","9","5.7"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 사상구","S020001289","창진초등학교","02","공립","N","","3","63","21","4","70","17.5","4","86","21.5","3","65","21.7","3","62","20.7","4","72","18","1","4","4","0","0","0","22","422","19.2","26","16.2"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 강서구","S020001290","천가초등학교","02","공립","N","","1","5","5","1","14","14","1","11","11","1","9","9","1","12","12","1","5","5","1","5","5","0","0","0","7","61","8.7","9","6.8"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 북구","S020001294","포천초등학교","02","공립","N","","2","46","23","3","53","17.7","4","81","20.3","3","65","21.7","5","106","21.2","4","95","23.8","2","9","4.5","0","0","0","23","455","19.8","28","16.3"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 사상구","S020001295","학장초등학교","02","공립","N","","2","30","15","2","36","18","2","31","15.5","2","35","17.5","2","34","17","2","32","16","1","2","2","0","0","0","13","200","15.4","15","13.3"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 사상구","S020001296","학진초등학교","02","공립","N","","3","72","24","3","66","22","4","79","19.8","4","78","19.5","4","88","22","5","111","22.2","2","10","5","0","0","0","25","504","20.2","30","16.8"
"부산광역시교육청","부산광역시북부교육지원청","부산광역시 북구","S020001297","화명초등학교","02","공립","N","","5","103","20.6","4","86","21.5","5","118","23.6","4","73","18.3","3","62","20.7","4","79","19.8","2","12","6","0","0","0","27","533","19.7","31","17.2"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001447","감천초등학교","02","공립","N","","1","11","11","1","16","16","1","14","14","1","11","11","1","24","24","2","35","17.5","1","4","4","0","0","0","8","115","14.4","10","11.5"
